j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
tahilit,muški,tahilita,tahilitu,tahilit,tahilite,tahilitu,tahilitom,tahiliti,tahilita,tahilitima,tahilite,tahiliti,tahilitima,tahilitima
taksonomija,ženski,taksonomije,taksonomiji,taksonomiju,taksonomijo,taksonomiji,taksonomijom,taksonomije,taksonomija,taksonomijama,taksonomije,taksonomije,taksonomijama,taksonomijama
talent,muški,talenta,talentu,talent,talente,talentu,talentom,talent,talenata,talentima,talente,talenti,talentima,talentima
svemir,muški,svemira,svemiru,svemir,svemire,svemiru,svemirom,svemiri,svemira,svemirima,svemire,svemiri,svemirima,svemirima
tangenta,ženski,tangente,tangenti,tangentu,tangento,tangenti,tangentom,tangente,tangenata,tangentama,tangente,tangente,tangentama,tangentama
tata,muški,tate,tati,tatu,tato,tati,tatom,tate,tata,tatama,tate,tate,tatama,tatama
tetka,ženski,tetke,tetki,tetku,tetko,tetki,tetkom,tetke,tetaka,tetkama,tetke,tetke,tetkama,tetkama
televizor,muški,televizora,televizoru,televizor,televizore,televizoru,televizorom,televizori,televizora,televizorima,televizore,televizori,televizorima,televizorima
temperatura,ženski,temperature,temperaturi,temperaturu,temperaturo,temperaturi,temperaturom,temperature,temperatura,temperaturama,temperature,temperature,temperaturama,temperaturama
tetak,muški,tetka,tetku,tetka,tetak,tetku,tetkom,tetci,tetaka,tetcima,tetke,tetci,tetcima,tetcima
težina,ženski,težine,težini,težinu,težino,težini,težinom,težine,težina,težinama,težine,težine,težinama,težinama
timpan,muški,timpana,timpanu,timpan,timpane,timpanu,timpanom,timpani,timpana,timpanima,timpane,timpani,timpanima,timpanima
tekst,muški,teksta,tekstu,tekst,tekste,tekstu,tekstom,tekstovi,tekstova,tekstovima,tekstove,tekstovi,tekstovima,tekstovima
tektosilikat,muški,tektosilikata,tektosilikatu,tektosilikat,tektosilikatu,tektosilikatu,tektosilikatom,tektosilikati,tektosilikata,tektosilikatima,tektosilikate,tektosilikati,tektosilikatima,tektosilikatima
telur,muški,telura,teluru,telur,telure,teluru,telurom,teluri,telura,telurima,telure,teluri,telurima,telurima
temelj,muški,temelja,temelju,temelj,temelju,temelju,temeljom,temelji,temelja,temeljima,temelje,temelji,temeljima,temeljima
tenisač,muški,tenisača,tenisaču,tenisača,tenisaču,tenisaču,tenisačom,tenisači,tenisača,tenisačima,tenisače,tenisači,tenisačima,tenisačima
teret,muški,tereta,teretu,teret,terete,teretu,teretom,tereti,tereta,teretima,terete,tereti,teretima,teretima
tetrijeb,muški,tetrijeba,tetrijebu,tetrijeb,tetrijebe,tetrijebu,tetrijebom,tetrijebi,tetrijeba,tetrijebima,tetrijebe,tetrijebi,tetrijebima,tetrijebima
tigar,muški,tigra,tigru,tigra,tigre,tigru,tigrom,tigrovi,tigrova,tigrovima,tigrova,tigrovi,tigrovima,tigrovima
tekstura,ženski,teksture,teksturi,teksturu,teksturo,teksturi,teksturom,teksture,tekstura,teksturama,teksture,teksture,teksturama,teksturama
tema,ženski,teme,temi,temu,temo,temi,temom,teme,tema,temama,teme,teme,temama,temama
terminologija,ženski,terminologije,terminologiji,terminologiju,terminologijo,terminologiji,terminologijom,terminologije,terminologija,terminologijama,terminologije,terminologije,terminologijama,terminologijama
tijesto,srednji,tijesta,tijestu,tijesto,tijesto,tijestu,tijestom,tijesta,tijesta,tijestima,tijesta,tijesta,tijestima,tijestima
tehnika,ženski,tehnike,tehnici,tehniku,tehniko,tehnici,tehnikom,tehnike,tehnika,tehnikama,tehnike,tehnike,tehnikama,tehnikama
tetiva,ženski,tetive,tetivi,tetivu,tetivo,tetivi,tetivom,tetive,tetiva,tetivama,tetive,tetive,tetivama,tetivama
totem,muški,totema,totemu,totem,toteme,totemu,totemom,totemi,totema,totemima,toteme,totemi,totemima,totemima
tjedan,muški,tjedna,tjednu,tjedna,tjedne,tjednu,tjednom,tjedni,tjedana,tjednima,tjedne,tjedni,tjednima,tjednima
tisuća,ženski,tisuće,tisući,tisuću,tisućo,tisući,tisućom,tisuće,tisuća,tisućama,tisuće,tisuće,tisućama,tisućama
tlo,srednji,tla,tlu,tlo,tlo,tlu,tlom,tla,tala,tlima,tla,tla,tlima,tlima
točka,ženski,točke,točki,točku,točko,točki,točkom,točke,točki,točkama,točke,točke,točkama,točkama
trag,muški,traga,tragu,trag,tragu,tragu,tragom,tragovi,tragova,tragovima,tragove,tragovi,tragovima,tragovima
toljaga,ženski,toljage,toljagi,toljagu,toljago,toljagi,toljagom,toljage,toljaga,toljagama,toljage,toljage,toljagama,toljagama
travesa,ženski,travese,travesi,travese,traveso,travesi,travesom,travese,travesi,travesama,travese,travese,travesama,travesama
trg,muški,trga,trgu,trg,trgu,trgu,trgom,trgovi,trgova,trgovima,trgove,trgovi,trgovima,trgovima
trgovac,muški,trgovca,trgovcu,trgovca,trgovče,trgovcu,trgovcem,trgovci,trgovaca,trgovcima,trgovce,trgovci,trgovcima,trgovcima
tektit,muški,tektita,tektitu,tektit,tektite,tektitu,tektitom,tektiti,tektita,tektitima,tektite,tektiti,tektitima,tektitima
tat,muški,tata,tatu,tata,tate,tatu,tatom,tatovi,tatova,tatovima,tatove,tatovi,tatovima,tatovima
trenutak,muški,trenutka,trenutku,trenutak,trenutku,trenutku,trenutkom,trenuci,trenutaka,trenucima,trenutke,trenuci,trenucima,trenucima
tor,muški,tora,toru,tor,toru,toru,torom,tori,tora,torima,tore,tori,torima,torima
trahit,muški,trahita,trahitu,trahit,trahite,trahitu,trahitom,trahiti,trahita,trahitima,trahite,trahiti,trahitima,trahitima
trapez,muški,trapeza,trapezu,trapez,trapeze,trapezu,trapezom,trapezi,trapeza,trapezima,trapeze,trapezi,trapezima,trapezima
trbuh,muški,trbuha,trbuhu,trbuh,trbuše,trbuhu,trbuhom,trbusi,trbuha,trbusima,trbuhe,trbusi,trbusima,trbusima
troktolit,muški,troktolita,troktolitu,troktolit,troktolite,troktolitu,troktolitom,troktoliti,troktolita,troktolitima,troktolite,troktoliti,troktolitima,troktolitima
troskok,muški,troskoka,troskoku,troskok,troskoče,troskoku,troskokom,troskoci,troskoka,troskocima,troskoke,troskoci,troskocima,troskocima
toplina,ženski,topline,toplini,toplinu,toplino,toplini,toplinom,topline,toplina,toplinama,topline,topline,toplinama,toplinama
tragedija,ženski,tragedije,tragediji,tragediju,tragedijo,tragediji,tragedijom,tragedije,tragedija,tragedijama,tragedije,tragedije,tragedijama,tragedijama
tragikomedija,ženski,tragikomedije,tragikomediji,tragikomediju,tragikomedijo,tragikomediji,tragikomedijom,tragikomedije,tragikomedija,tragikomedijama,tragikomedije,tragikomedije,tragikomedijama,tragikomedijama
trešnja,ženski,trešnje,trešnji,trešnju,trešnjo,trešnji,trešnjom,trešnje,trešanja,trešnjama,trešnje,trešnje,trešnjama,trešnjama
trgovina,ženski,trgovine,trgovini,trgovinu,trgovino,trgovini,trgovinom,trgovine,trgovina,trgovinama,trgovine,trgovine,trgovinama,trgovinama
truba,ženski,trube,trubi,trubu,trubo,trubi,trubom,trube,truba,trubama,trube,trube,trubama,trubama
ton,muški,tona,tonu,ton,tone,tonu,tonom,tonovi,tonova,tonovima,tonove,tonovi,tonovima,tonovima
tonalit,muški,tonalita,tonalitu,tonalit,tonalite,tonalitu,tonalitom,tonaliti,tonalita,tonalitima,tonalite,tonaliti,tonalitima,tonalitima
trondhjemit,muški,trondhjemita,trondhjemitu,trondhjemit,trondhjemite,trondhjemitu,trondhjemitom,trondhjemiti,trondhjemita,trondhjemitima,trondhjemite,trondhjemiti,trondhjemitima,trondhjemitima
tkanina,ženski,tkanine,tkanini,tkaninu,tkanino,tkanini,tkaninom,tkanine,tkanina,tkaninama,tkanine,tkanine,tkaninama,tkaninama
tvorba,ženski,tvorbe,tvorbi,tvorbu,tvorbo,tvorbi,tvorbom,tvorbe,tvorbi,tvorbama,tvorbe,tvorbe,tvorbama,tvorbama
tuga,ženski,tuge,tuzi,tugu,tugo,tuzi,tugom,tuge,tuga,tugama,tuge,tuge,tugama,tugama
tunika,ženski,tunike,tunici,tuniku,tuniko,tunici,tunikom,tunike,tunika,tunikama,tunike,tunike,tunikama,tunikama
tvrdnja,ženski,tvrdnje,tvrdnji,tvrdnju,tvrdnjo,tvrdnji,tvrdnjom,tvrdnje,tvrdnji,tvrdnjama,tvrdnje,tvrdnje,tvrdnjama,tvrdnjama
ujna,ženski,ujne,ujni,ujnu,ujno,ujni,ujnom,ujne,ujni,ujnama,ujne,ujne,ujnama,ujnama
uljudba,ženski,uljudbe,uljudbi,uljudbu,uljudbo,uljudbi,uljudbom,uljudbe,uljudaba,uljudbama,uljudbe,uljudbe,uljudbama,uljudbama
umorstvo,srednji,umorstva,umorstvu,umorstvo,umorstvo,umorstvu,umorstvom,umorstva,umorstava,umorstvima,umorstva,umorstva,umorstvima,umorstvima
umišljenost,ženski,umišljenosti,umišljenosti,umišljenost,umišljenosti,umišljenosti,umišljenošću,umišljenosti,umišljenosti,umišljenostima,umišljenosti,umišljenosti,umišljenostima,umišljenostima
udar,muški,udara,udaru,udar,udaru,udaru,udarom,udari,udara,udarima,udare,udari,udarima,udarima
ugovor,muški,ugovora,ugovoru,ugovor,ugovore,ugovoru,ugovorom,ugovori,ugovora,ugovorima,ugovore,ugovori,ugovorima,ugovorima
uklija,ženski,uklije,ukliji,ukliju,uklijo,ukliji,uklijom,uklije,uklija,uklijama,uklija/e,uklije,uklijama,uklijama
tvar,ženski,tvari,tvari,tvar,tvari,tvari,tvari,tvari,tvari,tvarima,tvari,tvari,tvarima,tvarima
tvornica,muški,tvornice,tvornici,tvornicu,tvornice,tvornici,tvornicom,tvornice,tvornica,tvornicama,tvornice,tvornice,tvornicama,tvornicama
tvrđava,ženski,tvrđave,tvrđavi,tvrđavu,tvrđavo,tvrđavi,tvrđavom,tvrđave,tvrđava,tvrđavama,tvrđave,tvrđave,tvrđavama,tvrđavama
ubojica,muški,ubojice,ubojici,ubojica,ubojice,ubojici,ubojicom,ubojice,ubojica,ubojicama,ubojice,ubojice,ubojicama,ubojicama
umor,muški,umora,umoru,umor,umoru,umoru,umorom,umori,umora,umorima,umore,umori,umorima,umorima
udjel,muški,udjela,udjelu,udjel,udjele,udjelu,udjelom,udjelovi,udjelova,udjelovima,udjelove,udjelovi,udjelovima,udjelovima
udruga,ženski,udruge,udruzi,udruge,udrugo,udruzi,udrugom,udruge,udruga,udrugama,udruga,udruge,udrugama,udrugama
udžbenik,muški,udžbenika,udžbeniku,udžbenik,udžbeniče,udžbeniku,udžbenikom,udžbenici,udžbenika,udžbenicima,udžbenike,udžbenici,udžbenicima,udžbenicima
ukupnost,ženski,ukupnosti,ukupnosti,ukupnost,ukupnosti,ukupnosti,ukupnošću,ukupnosti,ukupnosti,ukupnostima,ukupnosti,ukupnosti,ukupnostima,ukupnostima
ugođaj,muški,ugođaja,ugođaju,ugođaj,ugođaju,ugođaju,ugođajem,ugođaji,ugođaja,ugođajima,ugođaje,ugođaji,ugođajima,ugođajima
uho,srednji,uha,uhu,uho,uho,uhu,uhom,ušesa,ušesa,ušesima,ušesa,ušesa,ušesima,ušesima
umjetnost,ženski,umjetnosti,umjetnosti,umjetnost,umjetnosti,umjetnosti,umjetnošću,umjetnosti,umjetnosti,umjetnostima,umjetnosti,umjetnosti,umjetnostima,umjetnostima
umivaonik,muški,umivaonika,umivaoniku,umivaonik,umivaoniče,umivaoniku,umivaonikom,umivaonici,umivaonika,umivaonicima,umivaonike,umivaonici,umivaonicima,umivaonicima
tuf,muški,tufa,tufu,tuf,tufe,tufu,tufom,tufovi,tufova,tufovima,tufove,tufovi,tufovima,tufovima
tufit,muški,tufita,tufitu,tufit,tufite,tufitu,tufitom,tufiti,tufita,tufitima,tufite,tufiti,tufitima,tufitima
